日期,成分股1_相对收益率,成分股2_相对收益率,成分股3_相对收益率,成分股4_相对收益率,成分股5_相对收益率,成分股6_相对收益率,成分股7_相对收益率,成分股8_相对收益率,成分股9_相对收益率,成分股10_相对收益率,成分股11_相对收益率,成分股12_相对收益率,成分股13_相对收益率,成分股14_相对收益率,成分股15_相对收益率,成分股16_相对收益率,成分股17_相对收益率,成分股18_相对收益率,成分股19_相对收益率,成分股20_相对收益率,成分股21_相对收益率,成分股22_相对收益率,成分股23_相对收益率,成分股24_相对收益率,成分股25_相对收益率,成分股26_相对收益率,成分股27_相对收益率,成分股28_相对收益率,成分股29_相对收益率,成分股30_相对收益率,成分股31_相对收益率,成分股32_相对收益率,成分股33_相对收益率,成分股34_相对收益率,成分股35_相对收益率,成分股36_相对收益率,成分股37_相对收益率,成分股38_相对收益率,成分股39_相对收益率,成分股40_相对收益率,成分股41_相对收益率,成分股42_相对收益率,成分股43_相对收益率,成分股44_相对收益率,成分股45_相对收益率,成分股46_相对收益率,成分股47_相对收益率,成分股48_相对收益率,成分股49_相对收益率,成分股50_相对收益率,成分股51_相对收益率,成分股52_相对收益率,成分股53_相对收益率,成分股54_相对收益率,成分股55_相对收益率,成分股56_相对收益率,成分股57_相对收益率,成分股58_相对收益率,成分股59_相对收益率,成分股60_相对收益率,成分股61_相对收益率,成分股62_相对收益率,成分股63_相对收益率,成分股64_相对收益率,成分股65_相对收益率,成分股66_相对收益率,成分股67_相对收益率,成分股68_相对收益率,成分股69_相对收益率,成分股70_相对收益率,成分股71_相对收益率,成分股72_相对收益率,成分股73_相对收益率,成分股74_相对收益率,成分股75_相对收益率,成分股76_相对收益率,成分股77_相对收益率,成分股78_相对收益率,成分股79_相对收益率,成分股80_相对收益率,成分股81_相对收益率,成分股82_相对收益率,成分股83_相对收益率
2023-11-01,1.00552,0.99744,0.988889,0.95931,1.002237,1.006006,1.008021,1.002481,1.0,1.001855,1.009804,0.996324,1.00089,1.007366,0.993333,0.992928,0.991826,1.020219,0.992718,0.994994,0.988873,1.011811,1.014986,1.008427,1.003578,1.02418,0.998716,1.030508,0.992819,0.997093,0.998728,1.011507,0.998325,1.009195,0.995475,1.012121,0.977477,1.014616,1.011905,1.012097,0.985222,1.021045,1.016961,0.914611,0.960217,0.980371,1.042035,0.971684,0.97869,0.94831,1.018868,1.073317,1.00611,0.99793,1.038194,0.987903,1.003759,1.011735,1.047407,1.018519,1.029577,1.004717,0.985075,1.051887,1.008889,0.989166,1.006472,1.034979,1.006667,0.977754,1.024506,1.022491,1.019535,0.99686,0.991189,1.008989,1.01873,1.029286,1.015169,1.020231,1.028616,1.027202,1.033163
2023-11-02,0.997617,0.976903,0.998876,0.982027,1.011161,1.010448,1.007958,1.0,0.997573,0.994444,1.006472,1.00369,1.006222,0.998172,1.0,1.041311,1.001374,0.971924,0.977995,0.995597,0.995781,0.959144,1.001342,0.991643,1.00713,0.983137,0.988432,0.960526,0.985533,0.98105,0.991083,1.003413,0.956376,1.002278,1.015909,1.007485,1.036866,0.978391,1.009207,1.017928,1.0075,0.985075,0.999305,1.0,1.001883,0.988877,0.990446,1.015337,1.012903,0.97065,0.99537,1.015677,1.032389,1.002075,1.005017,0.988776,0.996255,1.004143,1.008487,1.012121,1.015048,0.985915,1.011364,1.00299,0.946586,0.974808,0.988424,0.99006,0.793046,0.999458,0.989969,0.989848,1.001825,0.992126,0.992593,1.017817,0.995914,1.015003,1.016092,0.998111,1.012782,1.005675,1.009877
2023-11-03,1.020776,1.016637,1.021935,1.01757,1.006623,1.014771,1.013158,1.00495,1.017032,0.992551,1.012862,1.014706,1.021201,1.003663,1.016107,1.021888,1.010974,1.048428,1.0325,1.019583,1.021186,1.040568,1.022788,1.014045,1.030088,1.037736,1.020806,1.070205,1.027523,1.054978,1.01928,0.997732,1.036842,1.013636,1.038031,1.014859,1.017778,1.042945,1.035986,0.994129,1.027295,1.028139,1.018081,1.014523,1.003759,1.028121,1.030011,1.006042,1.000796,1.015119,1.05814,1.00882,1.009804,1.010352,1.108153,1.0258,1.097744,1.014026,1.021038,1.011976,1.024259,1.011905,1.020599,1.038003,1.045375,1.073034,1.033182,1.036145,1.039666,1.064499,1.014809,1.010256,1.029144,1.11746,1.067164,1.006565,1.017436,1.033639,1.010181,1.012299,1.028953,1.033229,1.034841
2023-11-06,1.000439,0.985357,0.987892,1.007194,0.982456,1.0,0.971429,0.995074,0.985646,1.003752,0.961905,0.98913,1.0,1.020073,1.0,1.002677,0.991859,0.948136,1.002421,1.008674,0.998617,1.007797,1.001311,1.00831,1.001718,1.0,1.006369,1.0016,1.0,1.004225,1.005044,1.006818,1.006768,1.008969,1.006466,0.998536,1.017467,1.012941,1.01272,1.027559,0.975845,1.022456,1.00888,1.00409,0.966292,1.009847,0.983351,0.965465,0.98568,1.031915,1.061538,1.050273,1.03301,0.985656,1.006006,0.968813,1.058219,1.001627,1.020604,1.059172,1.018421,0.997647,1.012844,0.993539,1.00946,1.057592,0.982368,1.011628,0.983936,1.040733,1.064516,1.037225,1.00885,1.0625,1.008392,1.008696,1.010585,0.999014,1.004479,1.000935,1.008658,0.993325,1.004135
2023-11-07,0.983117,0.981643,0.998886,0.982143,0.991071,0.987627,1.005348,0.992574,1.004854,0.990654,0.983498,1.003663,0.990484,0.974955,0.988111,1.012016,0.991792,1.021368,0.985507,0.987101,0.993075,0.998066,0.967277,0.986264,0.975986,0.968595,0.989873,0.974441,0.976786,0.959327,0.992472,0.989842,0.983193,0.985556,0.987152,0.975073,1.002146,0.961672,0.95314,0.994253,0.990099,0.978723,0.979012,0.989817,0.988372,0.973998,0.954497,0.986003,1.0,0.948454,0.964803,0.94693,0.984962,0.997921,1.019403,0.970924,0.983819,0.964257,0.985195,0.97905,0.96124,0.990566,1.0,0.96604,0.97409,0.962376,0.983974,0.978927,0.979592,0.919765,0.945887,0.991843,0.970175,0.985294,0.98613,0.965517,0.975561,0.985192,0.993311,0.958917,0.961373,0.978009,0.99
2023-11-08,0.999375,1.013357,0.996654,0.995636,1.006757,0.993368,1.010638,0.991272,1.007246,1.0,0.984899,1.010949,1.00524,1.00367,1.009358,0.989446,1.005517,1.008368,1.007353,1.009334,1.027894,1.017442,1.006766,0.998607,0.994728,0.993174,1.005115,0.97541,0.996344,1.001462,1.0,1.003421,1.006838,0.997745,1.0,0.995489,1.006424,0.992754,0.996452,1.00578,1.005,0.995792,0.992393,1.006173,1.011765,0.986652,1.018847,1.01735,1.001614,1.026087,1.030043,0.982418,1.001908,1.002083,0.998536,1.011765,1.013158,0.982308,1.0,1.014265,1.005376,0.983333,1.014493,0.995512,1.0,0.985597,1.035179,1.011742,1.04375,0.982447,0.980931,0.981908,0.985533,0.993216,0.998594,1.015625,0.872188,0.989479,0.998878,0.989289,0.975446,0.994379,0.995841
2023-11-09,1.007532,1.001757,1.01399,1.006574,1.004474,1.013353,0.994737,1.012579,1.007194,1.001887,1.010221,1.01083,1.01477,1.016453,1.027815,0.990667,1.016461,1.007469,1.046229,1.018496,1.009498,1.011429,1.009409,1.066946,1.014134,0.998282,1.002545,1.016807,1.007339,0.99708,1.018963,0.990909,1.022071,1.038418,1.017354,1.016616,1.006383,0.990268,0.998983,0.990421,1.00995,1.003521,1.005575,1.006135,1.005814,1.007892,0.993471,1.004651,1.008058,0.995763,0.99375,1.03915,1.0,1.006237,1.004399,0.986258,1.003247,0.994854,0.993169,1.060478,1.002674,1.0,1.003571,1.027799,1.004527,0.981211,1.022026,0.994197,1.031936,0.999459,1.01633,1.005025,0.990826,0.991803,0.995775,1.008791,0.988277,1.006582,1.0,1.014764,0.993898,1.011307,1.009547
2023-11-10,1.02516,1.021053,1.012141,1.036284,1.013363,1.038067,1.007937,1.02236,1.019048,1.030132,1.026981,1.003571,1.009418,1.019784,1.027062,1.016151,1.024291,1.018946,1.032558,1.026634,1.038978,1.011299,1.013316,1.037908,1.041812,1.005164,1.002538,1.014876,1.023679,1.029283,1.013648,1.027523,1.009967,1.031556,1.031983,1.028232,0.993658,1.007371,1.028513,1.021277,1.009852,1.044912,1.04851,1.002033,1.009634,1.038031,1.081051,1.018519,0.998401,1.042553,1.027254,1.023681,1.013333,1.014463,1.011679,1.038585,1.084142,1.038793,0.990371,1.01061,1.022667,1.043584,1.02847,1.022661,1.032676,1.020213,1.044335,1.038911,1.065764,1.030878,1.052793,0.998333,1.027778,1.015152,1.057992,1.013072,1.022539,1.037223,1.005618,1.021339,0.998465,1.029193,1.02305
2023-11-13,1.017123,1.006014,1.011996,1.032213,1.002198,1.023272,0.994751,1.026731,1.014019,1.02925,1.022989,1.003559,1.010178,0.998236,0.996236,0.986755,0.996047,1.005659,0.993243,0.948113,1.001294,1.022346,1.024967,0.994962,1.058528,1.035959,1.026582,1.032573,1.014235,1.051209,1.004896,1.026786,0.996711,1.033755,1.028926,1.023121,1.010638,1.065854,0.965842,0.986742,0.992683,1.011417,1.033047,0.98783,0.965649,1.021552,1.010132,0.969697,0.998399,1.036735,0.993878,1.016824,1.018797,0.96945,1.02886,1.002064,1.056716,1.034025,0.970833,1.019685,1.04824,1.046404,1.027682,1.112938,1.01473,1.044838,1.006486,1.001873,0.994555,1.047819,1.053052,0.991653,1.055856,1.008141,1.036096,0.995699,1.013921,1.037827,1.001117,1.02754,1.033051,1.02414,1.014443
2023-11-14,0.983501,1.001708,0.981681,0.99118,0.97807,0.970365,0.984169,0.963314,0.97235,0.969805,0.971108,0.989362,0.984047,0.977032,0.982368,0.987919,0.970899,0.976688,0.963719,0.980721,0.963824,0.961749,0.970513,0.959494,0.957346,0.97686,0.970407,0.968454,0.950877,0.963464,0.962241,0.977174,0.973597,0.996939,0.981928,0.960452,0.976842,0.955378,0.975397,0.984645,0.987715,0.990704,0.987204,1.010267,1.005929,0.959916,0.952859,1.001562,0.995188,0.970472,0.985626,0.989659,0.979705,1.006303,0.973352,0.970134,0.968927,0.995185,1.027182,1.018018,0.973881,0.977827,0.968013,1.001285,0.978495,0.981038,0.951377,0.958879,0.95438,0.986961,0.991718,1.005051,0.985495,0.986541,0.987097,0.969762,0.97254,0.97757,0.979911,0.983364,0.987351,0.979965,0.990888
