日期,成分股1_相对收益率,成分股2_相对收益率,成分股3_相对收益率,成分股4_相对收益率,成分股5_相对收益率,成分股6_相对收益率,成分股7_相对收益率,成分股8_相对收益率,成分股9_相对收益率,成分股10_相对收益率,成分股11_相对收益率,成分股12_相对收益率,成分股13_相对收益率,成分股14_相对收益率,成分股15_相对收益率,成分股16_相对收益率,成分股17_相对收益率,成分股18_相对收益率,成分股19_相对收益率,成分股20_相对收益率,成分股21_相对收益率,成分股22_相对收益率,成分股23_相对收益率,成分股24_相对收益率,成分股25_相对收益率,成分股26_相对收益率,成分股27_相对收益率,成分股28_相对收益率,成分股29_相对收益率,成分股30_相对收益率,成分股31_相对收益率,成分股32_相对收益率,成分股33_相对收益率,成分股34_相对收益率,成分股35_相对收益率,成分股36_相对收益率,成分股37_相对收益率,成分股38_相对收益率,成分股39_相对收益率,成分股40_相对收益率,成分股41_相对收益率,成分股42_相对收益率,成分股43_相对收益率,成分股44_相对收益率,成分股45_相对收益率,成分股46_相对收益率,成分股47_相对收益率,成分股48_相对收益率,成分股49_相对收益率,成分股50_相对收益率,成分股51_相对收益率,成分股52_相对收益率,成分股53_相对收益率,成分股54_相对收益率,成分股55_相对收益率,成分股56_相对收益率,成分股57_相对收益率,成分股58_相对收益率,成分股59_相对收益率,成分股60_相对收益率,成分股61_相对收益率,成分股62_相对收益率,成分股63_相对收益率,成分股64_相对收益率,成分股65_相对收益率,成分股66_相对收益率,成分股67_相对收益率,成分股68_相对收益率,成分股69_相对收益率,成分股70_相对收益率,成分股71_相对收益率,成分股72_相对收益率,成分股73_相对收益率,成分股74_相对收益率,成分股75_相对收益率,成分股76_相对收益率,成分股77_相对收益率,成分股78_相对收益率,成分股79_相对收益率,成分股80_相对收益率,成分股81_相对收益率,成分股82_相对收益率,成分股83_相对收益率,成分股84_相对收益率,成分股85_相对收益率,成分股86_相对收益率,成分股87_相对收益率,成分股88_相对收益率,成分股89_相对收益率,成分股90_相对收益率,成分股91_相对收益率,成分股92_相对收益率,成分股93_相对收益率,成分股94_相对收益率,成分股95_相对收益率,成分股96_相对收益率,成分股97_相对收益率,成分股98_相对收益率,成分股99_相对收益率,成分股100_相对收益率,成分股101_相对收益率
2023-11-01,0.984803,0.986508,0.992823,0.986921,0.988483,0.965861,1.018206,0.944772,0.985658,0.992036,0.944228,0.964272,0.993768,0.974611,1.003141,1.001915,0.992082,0.993942,1.008731,0.99178,0.981527,0.982722,1.007825,0.983663,0.997422,1.003835,0.996648,0.96494,0.988493,0.99362,0.995021,0.995556,0.978714,0.976139,1.004444,0.978951,0.973229,1.040343,0.978701,1.003071,1.015756,0.904011,0.904906,0.991911,0.991599,0.981428,0.994847,0.949118,0.954944,0.961138,1.002248,0.994546,1.008627,0.992158,0.989923,1.0154,0.999195,0.998449,1.002954,1.002059,0.992218,0.995778,0.958343,0.9919,1.006582,1.005824,0.997764,1.030678,1.024311,0.994006,0.984408,0.956312,0.956851,0.982849,1.000986,1.009859,1.00467,0.936899,0.991192,0.949299,0.957857,1.000383,0.993447,0.990769,1.002408,0.990658,0.978107,1.015458,0.945271,0.999433,0.981064,0.965083,1.009924,0.998929,0.983994,0.996814,1.009376,0.982216,0.993635,0.996997,1.001845
2023-11-02,0.983399,0.975395,0.999587,1.004382,0.997813,0.986837,0.998196,0.97517,0.990998,1.081084,0.985007,0.973071,0.998746,1.007652,1.022309,1.006452,0.975033,0.997355,0.9357,1.018907,0.989753,0.971633,0.995505,0.915789,1.006069,0.98256,0.995654,0.99589,0.980344,0.991974,0.992815,0.993627,1.005346,0.989949,1.011912,0.997411,0.969049,0.992368,0.978417,1.001403,0.984143,0.974501,0.973489,1.000775,0.98957,0.988601,1.048731,0.990557,0.992588,0.973369,0.983044,1.002564,0.993942,1.016302,0.968694,0.996158,0.992692,0.943776,0.991474,0.999467,0.985574,1.010855,0.962675,0.991722,0.916861,1.018527,1.009384,0.962486,1.01966,0.981252,0.966003,1.039195,0.965222,0.989845,0.99421,1.013993,0.994688,0.980757,0.996446,1.00505,1.008017,1.009438,0.985851,1.041726,1.008257,1.012764,0.995392,1.004621,1.016113,1.013263,0.968647,1.015657,0.996511,0.985479,0.940652,1.01534,0.976483,1.023152,1.015885,0.993917,0.990883
2023-11-03,0.997721,1.007969,0.956818,0.987976,0.993152,0.988022,0.978307,1.029465,0.969819,0.982463,1.068328,1.014043,0.985838,1.00335,0.963629,0.988367,1.001265,0.985191,0.963187,0.972039,0.984037,0.903549,0.982348,1.012516,1.091945,0.995689,0.991654,1.001631,1.003699,0.97514,0.932795,0.977296,0.970054,0.994359,0.981278,0.993567,1.003992,0.990439,0.977482,0.976051,0.953415,0.999676,0.9991,0.976161,0.99446,1.005339,0.991375,1.092866,1.000146,0.997958,0.977181,0.963981,0.990319,1.000567,0.986147,0.994215,0.993991,0.998601,0.999726,0.990251,0.986642,0.97802,1.029062,0.987253,1.001019,0.974135,0.976828,1.005856,0.976898,0.985949,0.979604,1.005554,1.004315,1.005876,0.98891,0.966303,0.982377,0.985612,0.975031,0.97372,1.007953,1.000126,0.992986,0.974528,0.990619,0.983258,0.980159,0.967169,0.980121,0.97998,1.007484,0.99382,0.992997,0.997429,0.975544,0.964432,0.991309,0.970119,0.977554,0.996291,0.980948
2023-11-06,1.014759,1.012305,1.021306,1.001616,1.009171,1.037038,1.024693,0.997407,1.006193,1.003779,1.038907,1.003447,1.01387,1.014803,1.02066,1.017055,1.015327,1.015115,1.004508,1.018044,1.015091,1.047849,1.029113,1.020434,1.028647,1.002886,1.021822,1.013736,1.000194,1.025947,1.012054,1.018413,0.985203,1.017018,1.004227,1.004771,1.034872,1.003064,1.032534,1.015009,1.005143,1.019044,1.018744,1.037667,1.018158,1.015537,1.000772,1.004221,1.016642,0.998108,1.009821,1.01275,1.016474,1.022508,1.009782,1.005526,1.022329,1.022907,1.017165,1.014921,1.007778,1.019386,1.019984,1.022852,1.024173,0.998638,1.002699,1.02274,1.01707,1.030688,1.038988,1.026227,1.016321,1.006535,1.016665,1.014613,1.01427,0.974784,1.02195,1.013098,1.012869,0.992547,1.01228,1.01257,1.003908,1.007557,1.02969,1.013429,1.006259,1.011214,0.95205,0.981694,1.010159,1.020226,1.029296,1.021867,1.016618,1.035287,1.017286,1.011479,1.003126
2023-11-07,1.004833,1.002819,0.994996,1.016667,1.014998,1.009716,1.005082,1.024121,0.971541,1.032148,1.002863,1.000143,1.019264,1.024513,1.025302,1.003779,1.00047,1.008499,1.005463,1.014385,0.933474,1.03335,1.016784,1.020766,1.00746,1.005587,0.995603,1.007829,1.010859,1.014704,0.997536,0.993366,1.037385,1.011279,1.011263,1.005879,1.01385,1.00975,0.989254,1.009901,1.030702,0.996421,0.996947,1.009241,1.011404,1.019527,1.014092,1.022695,1.015282,1.01443,1.00891,1.011934,1.006055,1.008684,0.979177,1.019738,1.015182,1.010553,1.007765,1.003486,1.008432,1.009929,0.995407,1.015974,0.998012,1.000195,1.003258,1.002372,1.019231,1.003926,1.009528,1.023411,0.990744,1.017216,1.006162,1.000327,1.005159,1.007488,0.997427,1.014691,1.010758,1.035892,0.990231,1.025419,1.007636,1.043293,1.009174,1.019509,1.024556,1.016176,1.017633,1.010747,1.01051,1.008795,1.017798,1.018205,1.008667,1.014731,1.008623,1.002392,0.999717
2023-11-08,1.013296,1.018739,1.009137,1.004865,1.011949,1.023381,1.01207,1.096853,1.020102,1.001066,1.029379,1.013751,1.002876,1.013703,1.002278,1.015765,0.991637,1.006419,0.995148,1.002786,1.02557,1.009211,0.997471,1.012836,0.98993,0.982071,1.007892,1.015336,1.001151,0.995943,0.987991,1.013986,0.98948,0.993627,1.007312,1.007193,1.013036,1.00576,0.987296,1.021008,0.992908,1.018117,1.019101,1.011693,1.006814,1.003983,1.005254,1.021644,0.988322,1.031424,1.002359,0.999137,0.999115,1.012927,1.000957,0.995029,1.003778,1.003906,0.999237,1.009213,1.00411,0.9995,1.035118,0.995712,0.993279,1.001461,1.001836,1.023543,1.00223,1.020647,0.981609,1.019988,1.037886,1.022727,1.009738,0.998364,0.997201,1.008108,0.998318,0.997297,1.017433,1.009338,0.990351,1.014988,1.01679,1.02366,1.011688,0.988717,0.991771,1.008272,1.023999,1.008168,0.992606,0.999759,0.989735,0.999373,1.014802,1.007686,0.995977,1.008935,0.998016
2023-11-09,1.017693,1.020693,1.005545,1.009999,1.02488,1.026097,1.037228,0.998056,1.022044,1.032347,1.00781,1.021526,1.030044,1.013887,1.046212,1.024786,1.026169,1.045893,0.997075,1.044192,1.031445,1.01503,0.998265,1.01626,1.043682,1.045856,0.998509,1.020597,1.01073,1.01324,1.033199,1.008341,1.015684,1.027384,1.003909,1.017297,1.016528,1.005398,1.004942,1.012969,1.028571,1.007917,1.008225,1.021487,1.027562,1.013262,1.011073,1.010995,1.022855,1.027472,1.010424,1.017849,1.011517,1.006613,1.046586,1.012512,1.01584,1.01289,1.018628,1.01721,1.017502,1.0005,0.996857,1.019324,1.019298,1.0,1.035377,1.006502,1.025329,1.010757,1.041634,1.010026,1.027903,1.010591,1.011888,0.999672,1.012232,1.204424,1.021683,1.065815,1.058346,1.007669,1.0948,1.039947,1.024697,1.02978,1.009628,1.013968,1.014645,1.009997,1.062482,1.028917,1.008521,1.018452,1.015665,1.077841,1.019574,1.014124,1.022722,1.003941,1.032847
2023-11-10,1.007758,0.994819,0.987156,0.998749,1.017428,1.00886,0.990367,1.04099,1.012266,1.034863,1.003839,1.013061,1.012662,1.015833,1.028965,1.02283,1.007091,1.020916,1.033053,1.022007,1.006817,1.018152,1.000267,1.016,1.015958,0.981396,1.008867,0.996925,1.004929,1.008759,0.992269,1.023129,1.025339,1.021371,1.004339,1.008885,0.999555,0.996721,1.010577,1.004432,1.033681,1.013921,1.012628,1.044174,1.003667,1.013732,1.006054,1.011671,0.996323,1.002267,1.007322,1.011172,0.993869,1.007314,0.978494,0.989739,1.003191,1.00878,1.003822,1.012506,1.00652,1.029162,1.011999,1.016791,1.0,1.005153,1.038116,1.012862,0.991153,1.018012,1.018843,1.012228,1.034455,1.011041,0.99976,1.024918,0.990954,1.051196,1.006378,1.018888,1.018405,0.999275,1.026397,1.016384,1.003851,1.017697,1.009536,1.016026,1.01602,1.006758,1.006636,1.019822,0.990245,1.003501,1.006127,1.033489,1.001439,1.003343,1.027401,0.994805,0.98781
2023-11-13,1.004146,1.014605,0.998444,0.991235,0.998724,1.003176,1.003138,0.995546,1.011006,0.979693,1.008225,0.997904,1.001506,0.989234,0.996833,0.994254,1.039416,0.992781,0.999432,0.994794,0.98974,0.989503,1.005213,0.983326,0.991817,0.989311,1.015903,0.999759,1.005282,1.011815,0.995867,0.989665,0.988124,0.987657,0.993797,0.997499,0.992676,1.00296,1.026258,0.994485,0.97783,1.008284,1.008908,0.988676,0.996482,0.992116,1.007235,0.995018,1.003992,0.995476,1.002379,1.007552,1.004054,1.001248,1.04822,0.995191,0.996358,1.000285,1.003882,0.991572,1.011852,0.978465,1.003814,0.996378,0.996804,1.009286,0.995542,1.010573,0.994274,1.005505,1.001775,1.004104,1.016576,1.00981,0.99946,0.997441,1.005797,0.981472,0.99399,0.973619,1.00343,0.996132,1.013444,0.996239,0.98352,0.993129,0.991814,0.98405,1.000616,0.998983,0.996863,0.981828,1.004822,1.004573,0.99587,0.993801,0.999548,0.98945,0.993272,1.001335,0.982279
2023-11-14,1.005069,1.014451,1.006799,0.997895,1.006707,1.034928,0.986863,1.015213,0.993696,0.993305,1.021254,1.019289,0.999935,0.992019,0.993999,0.991109,1.01362,0.992912,0.990529,0.998097,0.985899,0.993457,1.000266,0.990108,0.995827,0.97282,1.002545,1.021309,0.996998,0.988323,0.982381,0.97618,1.013963,1.006784,0.995096,0.925877,0.995394,0.995081,1.000179,0.993468,0.975953,1.007227,1.005528,1.000123,1.000679,0.995253,0.99906,1.021607,1.026793,1.005158,0.994726,0.999514,1.003686,0.990585,1.007964,0.997761,1.001802,1.007018,0.999108,1.003664,0.987197,0.993712,1.009563,0.996044,0.99926,0.996741,0.9946,1.011219,0.990176,0.999701,1.019674,1.007649,1.004459,0.9989,1.002879,1.002245,0.997681,1.014024,1.003408,1.000183,1.006587,1.003277,0.996636,0.992988,0.992633,0.984284,1.005714,1.002701,1.009274,0.998575,1.013271,0.993831,1.008192,0.992069,0.997048,0.986958,1.005257,1.008418,0.992743,1.004671,0.98432
2023-11-15,1.001726,1.005885,0.999086,0.999367,1.008344,1.000188,0.991759,1.001234,1.00793,0.994446,0.995585,1.014825,1.000196,1.002194,0.990412,1.008522,1.002802,1.009806,1.002486,0.996663,0.999574,1.001211,1.000133,0.987631,1.000667,0.993059,0.993191,0.998253,0.997553,0.978648,0.986081,1.000352,0.992787,0.998936,0.989695,0.997763,1.004791,0.997075,1.018336,0.966381,0.970081,1.006495,1.006643,1.001883,1.003901,0.989336,0.994625,0.978076,1.016481,0.997273,0.996355,1.00493,0.998426,1.007603,1.032004,0.987804,1.000514,1.002134,0.995608,1.007738,0.989376,0.988343,1.003011,0.99109,0.992348,1.003846,1.006092,1.007406,0.983579,1.004694,1.000274,1.018602,1.01347,1.030645,1.001256,0.98624,0.996148,0.983511,0.988168,1.008237,0.994533,1.006411,1.00598,0.994025,0.998254,1.001736,0.988005,0.986529,0.989265,0.99667,0.999685,0.990654,0.997955,1.002791,1.000705,0.991382,0.996486,0.99527,0.998538,0.99185,0.987717
2023-11-16,0.991364,0.997375,0.971907,0.987439,0.988673,0.987067,1.004314,0.99912,0.966332,0.98601,0.989583,1.000274,0.995817,1.007819,0.987092,1.001557,0.996663,0.995221,0.961656,0.992348,0.997147,0.978185,0.998671,0.984586,0.994385,0.997379,0.992756,0.993096,0.981132,0.970764,0.99677,1.000677,0.993395,1.069112,0.995473,1.00531,0.982965,0.992067,0.993325,0.962516,0.966981,0.988219,0.987864,0.988353,0.972797,0.994908,0.990475,0.996835,0.984992,0.980103,0.980512,0.997029,0.992468,0.996737,0.955082,0.995052,0.978478,0.995535,0.997832,0.998841,0.977409,0.999326,1.002408,0.993284,0.997761,0.980651,0.97657,0.993089,0.951652,0.996565,0.978152,0.991093,1.008073,0.998665,0.992652,0.963011,1.002267,0.988102,0.995565,0.985476,1.000333,0.990745,0.980153,0.986521,0.991837,0.985707,0.998722,0.972144,0.977901,1.001705,0.945387,0.986572,1.004229,0.991651,0.985911,0.982614,0.990693,0.995807,0.985847,0.997687,1.000291
2023-11-17,1.016577,1.021874,1.003984,1.00449,1.017408,1.033718,1.015434,1.044938,1.012308,1.010724,1.021053,1.050627,1.013192,1.017173,1.005449,1.013766,1.021251,1.02022,1.003967,1.013976,1.023617,1.013228,1.003859,1.025196,1.000861,1.01279,1.024589,1.017237,1.011346,1.014085,1.007116,1.011823,1.00757,0.977087,1.003524,1.015258,1.020067,1.014369,1.019277,1.012537,1.007505,1.017997,1.018044,1.014745,1.012922,1.016496,1.016369,1.028042,1.027889,1.018686,0.998847,1.014831,1.001059,1.022661,1.010806,1.005447,1.021576,1.016548,1.003297,1.002611,1.008418,1.019895,1.025643,1.012105,0.997756,0.99033,1.015366,1.024897,1.007675,1.027784,0.991682,1.024203,1.029499,1.007934,1.004574,0.993261,1.00705,1.076628,0.998886,1.009027,1.034221,0.997452,1.020542,1.004616,1.000882,1.013534,1.00064,1.014421,1.009364,1.004902,1.02224,1.027361,1.0041,1.005993,0.986852,1.008552,1.01494,1.002527,1.012129,1.013849,1.007673
