Stock Similarity Group Detection
========================================
Method: Z-score normalized cosine similarity
High similarity threshold: >= 0.9
Low similarity threshold: <= -0.7

High similarity groups (1541 pairs)
----------------------------------------
stock_99_SP100 <-> stock_20_SP100: 0.999387
stock_60_HSI <-> stock_81_HSI: 0.998984
stock_42_SP100 <-> stock_43_SP100: 0.998689
stock_56_SP100 <-> stock_23_SP100: 0.997976
stock_38_HSI <-> stock_68_HSI: 0.997598
stock_61_SP100 <-> stock_3_SP100: 0.997589
stock_21_SP100 <-> stock_17_SP100: 0.997511
stock_25_SP100 <-> stock_99_SP100: 0.996800
stock_15_SP100 <-> stock_20_SP100: 0.996504
stock_50_SP100 <-> stock_25_SP100: 0.996496
stock_81_HSI <-> stock_59_HSI: 0.996138
stock_59_HSI <-> stock_34_HSI: 0.996063
stock_67_HSI <-> stock_32_HSI: 0.996025
stock_69_HSI <-> stock_21_HSI: 0.995975
stock_62_SP100 <-> stock_87_SP100: 0.995594
stock_44_SP100 <-> stock_86_SP100: 0.995591
stock_25_SP100 <-> stock_20_SP100: 0.995437
stock_13_SP100 <-> stock_44_SP100: 0.995431
stock_65_SP100 <-> stock_2_HSI: 0.995229
stock_18_SP100 <-> stock_27_SP100: 0.995223
stock_20_SP100 <-> stock_11_SP100: 0.995143
stock_26_HSI <-> stock_77_HSI: 0.994998
stock_15_SP100 <-> stock_99_SP100: 0.994622
stock_47_SP100 <-> stock_67_SP100: 0.994522
stock_64_HSI <-> stock_50_HSI: 0.994513
stock_33_HSI <-> stock_26_SP100: 0.994468
stock_16_SP100 <-> stock_18_SP100: 0.994457
stock_23_SP100 <-> stock_85_SP100: 0.994425
stock_56_SP100 <-> stock_85_SP100: 0.994422
stock_35_HSI <-> stock_30_HSI: 0.994256
stock_79_SP100 <-> stock_7_SP100: 0.994201
stock_81_HSI <-> stock_34_HSI: 0.993689
stock_19_SP100 <-> stock_27_HSI: 0.993562
stock_60_HSI <-> stock_59_HSI: 0.993351
stock_41_SP100 <-> stock_55_SP100: 0.993293
stock_35_SP100 <-> stock_54_SP100: 0.993263
stock_80_HSI <-> stock_83_HSI: 0.993028
stock_18_SP100 <-> stock_47_SP100: 0.992917
stock_29_HSI <-> stock_22_SP100: 0.992651
stock_21_SP100 <-> stock_69_SP100: 0.992599
stock_99_SP100 <-> stock_11_SP100: 0.992539
stock_35_HSI <-> stock_50_HSI: 0.992486
stock_22_HSI <-> stock_21_HSI: 0.992429
stock_61_SP100 <-> stock_7_SP100: 0.992279
stock_73_HSI <-> stock_8_SP100: 0.991756
stock_13_SP100 <-> stock_67_SP100: 0.991573
stock_63_HSI <-> stock_22_HSI: 0.991573
stock_61_HSI <-> stock_22_HSI: 0.991369
stock_50_SP100 <-> stock_99_SP100: 0.991294
stock_67_SP100 <-> stock_55_SP100: 0.991258
stock_15_SP100 <-> stock_11_SP100: 0.991221
stock_72_SP100 <-> stock_39_SP100: 0.990979
stock_45_SP100 <-> stock_57_SP100: 0.990772
stock_79_HSI <-> stock_22_HSI: 0.990725
stock_67_SP100 <-> stock_17_SP100: 0.990718
stock_30_HSI <-> stock_50_HSI: 0.990700
stock_16_SP100 <-> stock_47_SP100: 0.990642
stock_56_SP100 <-> stock_35_SP100: 0.990590
stock_79_SP100 <-> stock_61_SP100: 0.990571
stock_42_HSI <-> stock_88_SP100: 0.990518
stock_47_HSI <-> stock_68_HSI: 0.990492
stock_22_SP100 <-> stock_61_HSI: 0.990460
stock_7_SP100 <-> stock_3_SP100: 0.990456
stock_86_SP100 <-> stock_20_SP100: 0.990454
stock_56_HSI <-> stock_6_SP100: 0.990446
stock_27_SP100 <-> stock_45_SP100: 0.990430
stock_35_SP100 <-> stock_87_SP100: 0.990427
stock_11_HSI <-> stock_52_HSI: 0.990289
stock_13_SP100 <-> stock_47_SP100: 0.990239
stock_80_HSI <-> stock_22_SP100: 0.990169
stock_32_HSI <-> stock_79_HSI: 0.990150
stock_38_HSI <-> stock_21_HSI: 0.990140
stock_67_SP100 <-> stock_21_SP100: 0.990016
stock_60_HSI <-> stock_34_HSI: 0.989995
stock_86_SP100 <-> stock_57_SP100: 0.989786
stock_71_HSI <-> stock_47_HSI: 0.989634
stock_38_HSI <-> stock_69_HSI: 0.989622
stock_25_SP100 <-> stock_11_SP100: 0.989498
stock_30_SP100 <-> stock_71_SP100: 0.989480
stock_71_HSI <-> stock_38_HSI: 0.989412
stock_23_HSI <-> stock_26_HSI: 0.989408
stock_74_SP100 <-> stock_80_SP100: 0.989376
stock_68_SP100 <-> stock_4_SP100: 0.989340
stock_62_SP100 <-> stock_2_SP100: 0.989322
stock_81_SP100 <-> stock_28_SP100: 0.989251
stock_16_SP100 <-> stock_27_SP100: 0.989105
stock_86_SP100 <-> stock_99_SP100: 0.988988
stock_38_SP100 <-> stock_54_SP100: 0.988969
stock_44_SP100 <-> stock_67_SP100: 0.988940
stock_50_SP100 <-> stock_20_SP100: 0.988826
stock_25_SP100 <-> stock_15_SP100: 0.988599
stock_74_SP100 <-> stock_55_SP100: 0.988552
stock_79_SP100 <-> stock_3_SP100: 0.988442
stock_41_SP100 <-> stock_39_SP100: 0.988399
stock_9_SP100 <-> stock_75_SP100: 0.988327
stock_75_HSI <-> stock_47_HSI: 0.988180
stock_22_SP100 <-> stock_22_HSI: 0.988131
stock_18_SP100 <-> stock_67_SP100: 0.988047
stock_45_HSI <-> stock_6_HSI: 0.987922
stock_18_SP100 <-> stock_52_SP100: 0.987806
stock_20_HSI <-> stock_24_SP100: 0.987804
stock_96_SP100 <-> stock_84_SP100: 0.987732
stock_58_SP100 <-> stock_3_SP100: 0.987718
stock_44_SP100 <-> stock_99_SP100: 0.987698
stock_44_SP100 <-> stock_27_SP100: 0.987657
